train_conll_spanglish
emoji|chosen label|nr of occurences in tweets|label distribution
✨|positive|25|neutral:4 positive:20 negative:1 
💙|positive|22|positive:16 neutral:3 negative:3 
🌻|positive|22|positive:19 neutral:3 
✋|neutral|21|negative:6 neutral:11 positive:4 
🔫|positive|20|negative:5 positive:11 neutral:4 
😻|positive|20|positive:18 neutral:2 
💛|positive|18|positive:11 neutral:7 
😛|positive|17|neutral:2 positive:12 negative:3 
🎊|positive|17|positive:16 neutral:1 
💜|positive|17|neutral:6 positive:11 
💥|positive|17|negative:1 neutral:4 positive:12 
😆|positive|16|positive:11 negative:3 neutral:2 
😴|positive|16|negative:5 positive:9 neutral:2 
🌙|positive|15|positive:12 neutral:2 negative:1 
☁|positive|15|positive:13 neutral:2 
👊|positive|14|negative:3 neutral:3 positive:8 
🎁|positive|14|positive:11 negative:1 neutral:2 
🍁|positive|14|positive:12 negative:1 neutral:1 
😄|positive|13|neutral:3 positive:10 
💘|positive|13|negative:3 positive:8 neutral:2 
😹|positive|13|negative:3 positive:7 neutral:3 
😕|negative|12|negative:8 positive:3 neutral:1 
💄|positive|12|neutral:4 positive:8 
🤗|positive|12|positive:12 
⭐|positive|12|positive:8 neutral:4 
🌷|positive|12|positive:10 neutral:2 
🎂|positive|12|positive:11 neutral:1 
🍺|positive|11|positive:7 neutral:4 
🍹|positive|11|neutral:2 positive:9 
💓|positive|11|positive:7 neutral:4 
🌼|positive|11|positive:10 neutral:1 
🙂|positive|11|positive:10 neutral:1 
🙆|positive|11|positive:10 neutral:1 
💖|positive|11|positive:10 negative:1 
✈|positive|10|neutral:1 positive:9 
😠|negative|10|positive:1 negative:9 
🍃|positive|10|positive:8 neutral:2 
😟|neutral|9|neutral:5 negative:3 positive:1 
🎮|positive|9|positive:6 neutral:3 
💫|positive|9|neutral:3 positive:6 
💰|neutral|8|positive:3 neutral:5 
😪|negative|8|negative:7 positive:1 
😤|negative|8|negative:5 positive:1 neutral:2 
🔴|positive|8|neutral:1 positive:7 
🌞|positive|8|positive:5 neutral:3 
🔝|positive|8|positive:7 neutral:1 
💨|positive|7|positive:6 negative:1 
👖|positive|7|neutral:2 positive:5 
👛|positive|7|neutral:1 positive:6 
😀|positive|7|positive:7 
❗|neutral|7|neutral:6 positive:1 
🎧|positive|6|positive:6 
😨|positive|6|negative:1 positive:5 
😗|positive|6|positive:6 
👿|negative|6|negative:6 
😚|positive|6|positive:6 
🐶|negative|6|negative:4 neutral:2 
👔|positive|6|neutral:2 positive:4 
🎀|positive|6|positive:5 neutral:1 
✖|neutral|6|neutral:6 
👉|positive|6|positive:6 
🌺|negative|6|negative:4 neutral:2 
☝|positive|6|neutral:2 positive:4 
🍀|positive|6|positive:6 
🙀|positive|6|positive:5 neutral:1 
☎|positive|6|positive:6 
👶|positive|6|neutral:1 positive:5 
💗|positive|6|positive:4 neutral:2 
🌲|positive|6|positive:6 
⛄|positive|5|positive:5 
👋|positive|5|negative:1 positive:4 
📸|neutral|5|neutral:5 
👭|positive|5|neutral:1 positive:4 
👜|positive|5|neutral:1 positive:4 
🌚|positive|5|neutral:1 positive:4 
👯|positive|5|positive:5 
🙍|neutral|5|neutral:4 positive:1 
❣|positive|5|positive:5 
💌|positive|5|neutral:1 positive:4 
👾|positive|5|positive:5 
👙|positive|5|positive:4 neutral:1 
☹|negative|4|negative:4 
✅|neutral|4|neutral:3 positive:1 
📍|positive|4|neutral:1 positive:3 
🐥|positive|4|neutral:1 positive:3 
🐸|negative|4|negative:2 neutral:1 positive:1 
🦄|positive|4|positive:4 
👻|positive|4|positive:3 neutral:1 
🐤|positive|4|positive:3 neutral:1 
🌟|positive|4|positive:3 neutral:1 
⚠|neutral|4|neutral:4 
🍇|positive|4|positive:3 neutral:1 
🌤|positive|4|positive:4 
®|positive|4|positive:4 
🍡|neutral|4|positive:1 neutral:3 
💎|positive|4|positive:4 
⛵|neutral|4|neutral:3 positive:1 
🛍|positive|4|positive:3 neutral:1 
🖕|negative|4|negative:4 
🌿|positive|4|positive:4 
🌵|positive|4|positive:4 
🍂|positive|4|neutral:1 positive:3 
👰|positive|4|positive:4 
🐀|negative|4|negative:4 
👎|negative|3|negative:3 
🎋|positive|3|positive:3 
🙎|negative|3|negative:3 
😦|neutral|3|neutral:3 
⚽|positive|3|positive:3 
🔪|positive|3|positive:3 
🎥|positive|3|neutral:1 positive:2 
🍧|positive|3|neutral:1 positive:2 
🐱|neutral|3|neutral:3 
🔙|neutral|3|neutral:2 negative:1 
👚|neutral|3|neutral:2 positive:1 
🎓|positive|3|positive:3 
💞|positive|3|positive:3 
💐|positive|3|positive:3 
🌎|positive|3|positive:3 
🏆|positive|3|positive:3 
🔆|positive|3|neutral:1 positive:2 
🍦|positive|3|neutral:1 positive:2 
🍒|positive|3|positive:2 neutral:1 
😽|positive|3|positive:3 
🔺|neutral|3|neutral:3 
🌏|positive|3|positive:3 
🐰|positive|3|positive:3 
🍬|neutral|3|neutral:3 
💍|positive|3|positive:3 
🌠|positive|3|positive:2 neutral:1 
😶|positive|3|positive:3 
⌛|positive|3|positive:3 
🐝|positive|3|positive:3 
👐|positive|2|positive:2 
💴|positive|2|positive:2 
💳|positive|2|positive:2 
💸|positive|2|positive:2 
💊|positive|2|positive:2 
🏃|negative|2|negative:2 
🐣|positive|2|positive:2 
🐳|positive|2|positive:2 
⚪|positive|2|positive:2 
🔵|positive|2|positive:2 
🚌|positive|2|positive:2 
🎾|positive|2|positive:2 
📷|positive|2|positive:2 
🚢|positive|2|positive:2 
👕|positive|2|positive:2 
🎃|positive|2|positive:2 
▶|positive|2|positive:2 
🐟|neutral|2|neutral:2 
📢|negative|2|negative:2 
🎨|positive|2|positive:2 
🌀|neutral|2|neutral:2 
🙉|positive|2|positive:2 
⏰|positive|2|positive:2 
🔮|neutral|2|neutral:2 
⚓|positive|2|positive:2 
📚|neutral|2|neutral:2 
📨|positive|2|positive:2 
🍴|positive|2|positive:2 
⬇|positive|2|positive:2 
🎼|positive|2|positive:2 
✳|positive|2|positive:2 
🌶|positive|2|positive:2 
🌍|positive|2|positive:2 
🏊|positive|2|positive:2 
🐧|positive|2|positive:2 
🍭|positive|2|positive:2 
🎩|positive|2|positive:2 
👫|positive|2|positive:2 
⛅|positive|2|positive:2 
✏|positive|2|positive:2 
🔅|positive|2|positive:2 
☢|neutral|2|neutral:2 
🖖|neutral|2|neutral:2 
